,precision,recall,f1-score,support
Brocoli_green_weeds_1,1.0,1.0,1.0,909.0
Brocoli_green_weeds_2,1.0,1.0,1.0,498.0
Fallow,0.9308176100628931,1.0,0.9641693811074918,296.0
Fallow_rough_plow,0.9866220735785953,1.0,0.9932659932659933,295.0
Fallow_smooth,1.0,0.9953650057937428,0.9976771196283392,863.0
Stubble,1.0,1.0,1.0,632.0
Celery,0.9917355371900827,1.0,0.995850622406639,120.0
Grapes_untrained,0.9832752613240419,0.9734391169368748,0.9783324666319986,2899.0
Soil_vinyard_develop,0.9991511035653651,1.0,0.9995753715498938,1177.0
Corn_senesced_green_weeds,0.9873949579831933,0.8639705882352942,0.9215686274509803,544.0
Lettuce_romaine_4wk,0.5,1.0,0.6666666666666666,51.0
Lettuce_romaine_5wk,1.0,1.0,1.0,448.0
Lettuce_romaine_6wk,1.0,1.0,1.0,233.0
Lettuce_romaine_7wk,1.0,0.9868421052631579,0.9933774834437086,228.0
Vinyard_untrained,0.8957142857142857,0.9288888888888889,0.912,675.0
Vinyard_vertical_trellis,1.0,1.0,1.0,972.0
accuracy,0.9809963099630996,0.9809963099630996,0.9809963099630996,0.9809963099630996
macro avg,0.9546694268386535,0.9842816065698725,0.963905233259482,10840.0
weighted avg,0.9836115885813601,0.9809963099630996,0.9816434009583236,10840.0
