,Brocoli_green_weeds_1,Brocoli_green_weeds_2,Fallow,Fallow_rough_plow,Fallow_smooth,Stubble,Celery,Grapes_untrained,Soil_vinyard_develop,Corn_senesced_green_weeds,Lettuce_romaine_4wk,Lettuce_romaine_5wk,Lettuce_romaine_6wk,Lettuce_romaine_7wk,Vinyard_untrained,Vinyard_vertical_trellis
Brocoli_green_weeds_1,845,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brocoli_green_weeds_2,0,484,0,0,0,0,12,0,0,0,0,0,0,2,0,0
Fallow,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallow_rough_plow,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0
Fallow_smooth,0,0,0,95,747,0,0,21,0,0,0,0,0,0,0,0
Stubble,0,0,0,0,0,632,0,0,0,0,0,0,0,0,0,0
Celery,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0
Grapes_untrained,0,0,0,0,0,0,17,2698,0,0,0,0,0,11,173,0
Soil_vinyard_develop,0,0,0,0,0,0,0,0,1177,0,0,0,0,0,0,0
Corn_senesced_green_weeds,0,0,17,0,0,0,0,56,0,300,167,4,0,0,0,0
Lettuce_romaine_4wk,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0
Lettuce_romaine_5wk,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0
Lettuce_romaine_6wk,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0
Lettuce_romaine_7wk,0,0,0,0,0,0,0,10,0,6,0,0,16,196,0,0
Vinyard_untrained,0,0,0,0,0,0,0,203,0,0,0,0,0,0,472,0
Vinyard_vertical_trellis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,971
