,precision,recall,f1-score,support
Brocoli_green_weeds_1,0.990174672489083,0.9977997799779978,0.993972602739726,909.0
Brocoli_green_weeds_2,1.0,0.857429718875502,0.9232432432432433,498.0
Fallow,0.9107692307692308,1.0,0.9533011272141707,296.0
Fallow_rough_plow,0.8966565349544073,1.0,0.9455128205128205,295.0
Fallow_smooth,0.9953650057937428,0.9953650057937428,0.9953650057937428,863.0
Stubble,0.9663608562691132,1.0,0.9828926905132193,632.0
Celery,0.6818181818181818,1.0,0.8108108108108109,120.0
Grapes_untrained,0.9313110181311018,0.9213521904104863,0.9263048378706433,2899.0
Soil_vinyard_develop,0.9861231569817867,0.9660152931180969,0.9759656652360515,1177.0
Corn_senesced_green_weeds,0.8717277486910995,0.6121323529411765,0.7192224622030238,544.0
Lettuce_romaine_4wk,0.34459459459459457,1.0,0.5125628140703518,51.0
Lettuce_romaine_5wk,0.9313929313929314,1.0,0.9644779332615716,448.0
Lettuce_romaine_6wk,0.9872881355932204,1.0,0.9936034115138592,233.0
Lettuce_romaine_7wk,0.9811320754716981,0.9122807017543859,0.9454545454545454,228.0
Vinyard_untrained,0.7382920110192838,0.794074074074074,0.7651677373304783,675.0
Vinyard_vertical_trellis,0.9978813559322034,0.9691358024691358,0.9832985386221295,972.0
accuracy,0.9312730627306273,0.9312730627306273,0.9312730627306273,0.9312730627306273
macro avg,0.8881804693688549,0.9390990574634124,0.8994472653993992,10840.0
weighted avg,0.9386852652032204,0.9312730627306273,0.9321739767477922,10840.0
