strategy,height,width,bands,patch_size,tokens,attention_cost_proxy
independent_band,1120,832,4,8,58240,3391897600
all_band_patch,1120,832,4,8,14560,211993600
grouped_band_8,1120,832,4,8,14560,211993600
independent_band,1120,832,4,16,14560,211993600
all_band_patch,1120,832,4,16,3640,13249600
grouped_band_8,1120,832,4,16,3640,13249600
independent_band,1120,832,4,32,3640,13249600
all_band_patch,1120,832,4,32,910,828100
grouped_band_8,1120,832,4,32,910,828100
independent_band,1120,832,4,64,884,781456
all_band_patch,1120,832,4,64,221,48841
grouped_band_8,1120,832,4,64,221,48841
independent_band,1120,832,12,8,174720,30527078400
all_band_patch,1120,832,12,8,14560,211993600
grouped_band_8,1120,832,12,8,29120,847974400
independent_band,1120,832,12,16,43680,1907942400
all_band_patch,1120,832,12,16,3640,13249600
grouped_band_8,1120,832,12,16,7280,52998400
independent_band,1120,832,12,32,10920,119246400
all_band_patch,1120,832,12,32,910,828100
grouped_band_8,1120,832,12,32,1820,3312400
independent_band,1120,832,12,64,2652,7033104
all_band_patch,1120,832,12,64,221,48841
grouped_band_8,1120,832,12,64,442,195364
independent_band,1120,832,64,8,931840,868325785600
all_band_patch,1120,832,64,8,14560,211993600
grouped_band_8,1120,832,64,8,116480,13567590400
independent_band,1120,832,64,16,232960,54270361600
all_band_patch,1120,832,64,16,3640,13249600
grouped_band_8,1120,832,64,16,29120,847974400
independent_band,1120,832,64,32,58240,3391897600
all_band_patch,1120,832,64,32,910,828100
grouped_band_8,1120,832,64,32,7280,52998400
independent_band,1120,832,64,64,14144,200052736
all_band_patch,1120,832,64,64,221,48841
grouped_band_8,1120,832,64,64,1768,3125824
independent_band,1120,832,128,8,1863680,3473303142400
all_band_patch,1120,832,128,8,14560,211993600
grouped_band_8,1120,832,128,8,232960,54270361600
independent_band,1120,832,128,16,465920,217081446400
all_band_patch,1120,832,128,16,3640,13249600
grouped_band_8,1120,832,128,16,58240,3391897600
independent_band,1120,832,128,32,116480,13567590400
all_band_patch,1120,832,128,32,910,828100
grouped_band_8,1120,832,128,32,14560,211993600
independent_band,1120,832,128,64,28288,800210944
all_band_patch,1120,832,128,64,221,48841
grouped_band_8,1120,832,128,64,3536,12503296
independent_band,1120,832,224,8,3261440,10636990873600
all_band_patch,1120,832,224,8,14560,211993600
grouped_band_8,1120,832,224,8,407680,166202982400
independent_band,1120,832,224,16,815360,664811929600
all_band_patch,1120,832,224,16,3640,13249600
grouped_band_8,1120,832,224,16,101920,10387686400
independent_band,1120,832,224,32,203840,41550745600
all_band_patch,1120,832,224,32,910,828100
grouped_band_8,1120,832,224,32,25480,649230400
independent_band,1120,832,224,64,49504,2450646016
all_band_patch,1120,832,224,64,221,48841
grouped_band_8,1120,832,224,64,6188,38291344
